state,year,age,stname,pmu,pru,pmuse,pruse,year0,mmlf,mmll,mml_1,mml0,mml1,mml2,treated,treatex,mmlwall,wall
"Alaska",2004,"12-17y","Alaska",9.71,28.77,1.293367,2.193877,"2004-5","yes","yes",0,0,0,0,"yes","yes","Already MML","MML-post"
"Alaska",2004,"18-25y","Alaska",21.36,18.63,1.683674,1.658163,"2004-5","yes","yes",0,0,0,0,"yes","yes","Already MML","MML-post"
"Alaska",2004,"26+y","Alaska",7.99,28.67,1.063776,1.989796,"2004-5","yes","yes",0,0,0,0,"yes","yes","Already MML","MML-post"
"Alaska",2005,"12+y","Alaska",8.83,28.53,.75,1.403061,"2005-6","yes","yes",0,0,0,0,"yes","yes","Already MML","MML-post"
"Alaska",2005,"12-17y","Alaska",8.26,28.31,1.040816,2.066327,"2005-6","yes","yes",0,0,0,0,"yes","yes","Already MML","MML-post"
"Alaska",2005,"18-25y","Alaska",19.42,18.4,1.479592,1.505102,"2005-6","yes","yes",0,0,0,0,"yes","yes","Already MML","MML-post"
"Alaska",2005,"26+y","Alaska",6.89,30.53,.8903061,1.785714,"2005-6","yes","yes",0,0,0,0,"yes","yes","Already MML","MML-post"
"Alaska",2006,"12+y","Alaska",8.09,29.49,.7193878,1.556122,"2006-7","yes","yes",0,0,0,0,"yes","yes","Already MML","MML-post"
"Alaska",2006,"12-17y","Alaska",7.95,28.45,.872449,1.964286,"2006-7","yes","yes",0,0,0,0,"yes","yes","Already MML","MML-post"
"Alaska",2006,"18-25y","Alaska",19.15,19.23,1.683674,1.632653,"2006-7","yes","yes",0,0,0,0,"yes","yes","Already MML","MML-post"
"Alaska",2006,"26+y","Alaska",6.04,31.59,.8112245,1.938776,"2006-7","yes","yes",0,0,0,0,"yes","yes","Already MML","MML-post"
"Alaska",2007,"12+y","Alaska",9.18,30.04,.8673469,1.479592,"2007-8","yes","yes",0,0,0,0,"yes","yes","Already MML","MML-post"
